Section,Key,,,,,,
general,Label,2022-1-27 Braille Trial 1,2022-1-27 Braille Trial 2,2022-1-27 Braille Trial 3,2022-1-27 Braille Trial 4,2022-1-27 Braille Trial 5,2022-1-27 Braille Trial 6
general,File,braille-font-test.stl,braille-font-test.stl,braille-font-test.stl,braille-font-test.stl,braille_font_size_test.stl,braille_font_size_test.stl
general,Description,Braille font test: swell braille / braille  / braille puffdot / braille from BRL2000 / braille 29 in 18pt/20pt/22pt font,Braille font test: swell braille / braille  / braille puffdot / braille from BRL2000 / braille 29 in 18pt/20pt/22pt font,Braille font test: swell braille / braille  / braille puffdot / braille from BRL2000 / braille 29 in 18pt/20pt/22pt font,Braille font test: swell braille / braille  / braille puffdot / braille from BRL2000 / braille 29 in 18pt/20pt/22pt font,Braille font test: swell braille / braille  / braille puffdot / braille from BRL2000 / braille 29 in 18pt/20pt/22pt font,Braille font test: swell braille / braille  / braille puffdot / braille from BRL2000 / braille 29 in 18pt/20pt/22pt font
general,Toolchain,bitmap-to-svg,bitmap-to-svg,bitmap-to-svg,bitmap-to-svg,bitmap-to-svg,bitmap-to-svg
general,Filament,PLA Ultimaker White,PLA Ultimaker White,PLA Ultimaker White,PLA Ultimaker White,PLA Ultimaker White,PLA Ultimaker White
general,Paper,90 lb black cardstock,90 lb black cardstock,90 lb black cardstock,90 lb black cardstock,90 lb black cardstock,90 lb black cardstock
general,Printer,Ultimaker S5,Ultimaker S5,Ultimaker S5,Ultimaker S5,Ultimaker S5,Ultimaker S5
general,Human,Chris Correll,Chris Correll,Chris Correll,Chris Correll,Chris Correll,Chris Correll
general,Comments,rough feel/ okay adhesion /stringing/travel lines! / only line 6 legible by braille reader still very small go up in point,rough feel/ okay adhesion /stringing/travel lines! / no lines legible by braille reader,nice feel/ okay adhesion /stringing/travel lines! / no lines legible at first by braille reader later legible after new what it said,rough feel/ bad adhesion /stringing/travel lines! / no lines legible ,design is 18% smaller then actual / extruder wipe not so great start of print has blob / almost no stringing except on first line / braille looks pretty legible and feels good / decent adherance / line 3 looks the best / reader feedback: lines 6 and 7 the best -RA dots need to be rounded and cells anddots spaced out more -Marcus,same as trial 5 but with more stringing with smaller fonts
general,Profile,tg_v1,tg_v1+changes,tg_v1+changes,tg_v1+changes,tg_v1,tg_v1+changes
resolution,layer_height,0.1,0.1,0.1,0.1,0.1,0.1
resolution,layer_height_0,0.2,0.2,0.2,0.2,0.2,0.2
resolution,line_width,0.24,0.24,0.4,0.24,0.24,0.4
resolution,wall_line_width,0.24,0.24,0.4,0.24,0.24,0.4
resolution,wall_line_width_0,0.24,0.24,0.4,0.24,0.24,0.4
resolution,wall_line_width_x,0.21,0.21,0.34,0.21,0.21,0.34
resolution,infill_line_width,0.6,0.6,0.6,0.6,0.6,0.6
resolution,skirt_brim_line_width,0.24,0.24,0.4,0.24,0.24,0.4
resolution,prime_tower_line_width,0.24,0.24,0.4,0.24,0.24,0.4
resolution,initial_layer_line_width_factor,100,100,100,100,100,100
shell,wall_extruder_nr,-1,-1,-1,-1,-1,-1
shell,wall_0_extruder_nr,-1,-1,-1,-1,-1,-1
